LG+G4m{0.359069}+BU{0.291430}, partition_91 = 7778-8190
LG+G4m{0.549282}+BU{0.989846}, partition_92 = 3460-3750
LG+G4m{1.113582}+BU{0.303436}, partition_93 = 4371-4752
LG+G4m{0.414621}+BU{0.378053}, partition_94 = 2339-2498
LG+G4m{0.621909}+BU{1.520909}, partition_95 = 31303-31545
LG+G4m{0.348858}+BU{0.866872}, partition_96 = 18685-19127
LG+G4m{1.019159}+BU{0.947420}, partition_97 = 13340-13425
LG+G4m{0.655155}+BU{0.898846}, partition_98 = 21283-21528
LG+G4m{0.474133}+BU{0.562424}, partition_99 = 21885-22044
LG+G4m{0.488259}+BU{0.766051}, partition_100 = 6837-6944
LG+G4m{0.842092}+BU{1.676211}, partition_101 = 8341-8709
LG+G4m{1.055616}+BU{1.486150}, partition_102 = 36855-37145
LG+G4m{0.552743}+BU{0.431317}, partition_103 = 8950-9158
LG+G4m{0.442054}+BU{0.876131}, partition_104 = 21721-21884
LG+G4m{0.593425}+BU{1.143067}, partition_105 = 16325-16622
LG+G4m{0.818763}+BU{0.783590}, partition_106 = 17259-17379
LG+G4m{0.856338}+BU{1.112608}, partition_107 = 33771-33973
LG+G4m{0.356458}+BU{0.304670}, partition_108 = 1037-1245
LG+G4m{0.253747}+BU{0.239382}, partition_109 = 450-894
LG+G4m{0.369239}+BU{0.263181}, partition_110 = 2199-2338
LG+G4m{0.926741}+BU{1.501386}, partition_111 = 16623-16861
LG+G4m{0.945483}+BU{2.524993}, partition_112 = 35624-35899
LG+G4m{0.453676}+BU{0.571563}, partition_113 = 18310-18684
LG+G4m{1.291134}+BU{0.497025}, partition_114 = 8838-8949
LG+G4m{0.234683}+BU{0.925452}, partition_115 = 36128-36307
LG+G4m{0.303651}+BU{0.554156}, partition_116 = 29946-30521
LG+G4m{1.099856}+BU{1.697351}, partition_117 = 23301-23508
LG+G4m{0.515186}+BU{1.113596}, partition_118 = 26279-26828
LG+G4m{0.909625}+BU{0.707921}, partition_119 = 5538-5619
LG+G4m{0.587084}+BU{0.988171}, partition_120 = 20260-20649
LG+G4m{0.458645}+BU{1.064945}, partition_121 = 26829-27065
LG+G4m{0.922314}+BU{1.033730}, partition_122 = 14697-14834
LG+G4m{2.022379}+BU{1.516993}, partition_123 = 14835-15107
LG+G4m{0.656897}+BU{2.263123}, partition_124 = 36308-36548
LG+G4m{0.445132}+BU{0.524224}, partition_125 = 3751-4010
LG+G4m{0.738525}+BU{1.069052}, partition_126 = 30976-31167
LG+G4m{0.587497}+BU{0.197487}, partition_127 = 1246-1426
LG+G4m{0.610370}+BU{1.484561}, partition_128 = 24163-24629
