LG+G4m{1.911165}+BU{1.715133}, partition_0 = 35401-35554
LG+G4m{2.815758}+BU{1.257638}, partition_1 = 44514-44635
LG+G4m{4.320303}+BU{0.874378}, partition_2 = 49385-49904
LG+G4m{6.471738}+BU{1.128925}, partition_3 = 29254-29494
LG+G4m{4.447889}+BU{1.589590}, partition_4 = 30963-31156
LG+G4m{3.783938}+BU{1.097228}, partition_5 = 26470-26840
LG+G4m{4.445927}+BU{1.591988}, partition_6 = 30126-30337
LG+G4m{3.676915}+BU{0.800935}, partition_7 = 9048-9275
LG+G4m{4.517058}+BU{1.087062}, partition_8 = 156-321
LG+G4m{9.170120}+BU{1.170489}, partition_9 = 48019-48320
LG+G4m{2.950464}+BU{0.866230}, partition_10 = 10665-11264
LG+G4m{6.233527}+BU{0.724289}, partition_11 = 22287-22708
LG+G4m{1.980308}+BU{1.394988}, partition_12 = 37183-37288
LG+G4m{3.149452}+BU{0.710892}, partition_13 = 50841-51319
LG+G4m{3.018541}+BU{1.283288}, partition_14 = 46015-46438
LG+G4m{7.066964}+BU{0.672194}, partition_15 = 39853-41271
LG+G4m{5.044138}+BU{1.586570}, partition_16 = 37686-37750
LG+G4m{7.525226}+BU{0.791305}, partition_17 = 7567-8133
LG+G4m{2.498158}+BU{0.916705}, partition_18 = 3541-4068
LG+G4m{2.659283}+BU{1.064915}, partition_19 = 44728-44828
LG+G4m{3.032400}+BU{0.649210}, partition_20 = 44371-44513
LG+G4m{6.761018}+BU{1.057885}, partition_21 = 15165-15403
LG+G4m{1.508179}+BU{1.142453}, partition_22 = 38318-38592
LG+G4m{8.103847}+BU{0.617998}, partition_23 = 48906-49080
LG+G4m{3.930701}+BU{0.858898}, partition_24 = 45350-45559
LG+G4m{3.104095}+BU{0.878144}, partition_25 = 29921-30125
LG+G4m{2.150346}+BU{0.939335}, partition_26 = 35651-35789
LG+G4m{2.557447}+BU{1.211588}, partition_27 = 4553-5051
LG+G4m{20.576606}+BU{0.802919}, partition_28 = 20456-20853
LG+G4m{5.446515}+BU{0.750200}, partition_29 = 50231-50840
LG+G4m{0.874665}+BU{0.983355}, partition_30 = 42363-42651
LG+G4m{4.618319}+BU{1.409317}, partition_31 = 15846-15968
LG+G4m{3.820418}+BU{1.120542}, partition_32 = 18502-19142
LG+G4m{31.319926}+BU{0.682863}, partition_33 = 23497-23876
LG+G4m{3.989051}+BU{1.395484}, partition_34 = 31800-32015
LG+G4m{5.004554}+BU{1.020624}, partition_35 = 15404-15845
LG+G4m{4.036802}+BU{0.964063}, partition_36 = 986-1500
LG+G4m{4.544015}+BU{1.005480}, partition_37 = 29038-29253
LG+G4m{5.505817}+BU{1.652238}, partition_38 = 37520-37604
